SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;Certification
81;P20-013;A-XS-AC;A-45-AC-TB;Polyfilm Nigeria;Polyfilm Nigeria;;2020-01;2020-01;PE-PP;45;20;
97;P20-028;A-XS-AC;A-45-AC-TB-HF-MSC;GLOBE AGENCIES / MDV ;GLOBE AGENCIES / MDV ;;2020-01;2020-01;PE-PP;45;20;
109;P20-030;A-XS-AC;A-45-AC-TB-HF-SR;Lordsmint;Lordsmint;;2020-01;2020-01;PE-PP;45;20;
86;P20-024;A-XS-AC;A-45-AC-TB-RF;ANKATEKNIK PLASTIK / MAYA;ANKATEKNIK PLASTIK / MAYA;;2020-01;2020-01;PE-PP;45;20;
103;P20-024;A-XS-AC;A-45-AC-TB-RF;ANKATEKNIK PLASTIK / MAYA;ANKATEKNIK PLASTIK / MAYA;;2020-01;2020-01;PE-PP;45;20;
180;P21-050;A-XS-AC;A-45-AC-TB-RF-HF-MCF-400-50-SIDEPANEL;Karawia;Karawia;;2021-01;2021-01;PE-PP;45;20;
83;P20-018;A-XS-AC;A-45-AC-TB-RF-MSC;Atlantic Packaging;Atlantic Packaging;;2020-01;2020-01;PE-PP;45;20;
119;P21-002;A-XS-AC;A-45-AC-TB-S-CE-4003N-NOSR;Rhone Alpes;Rhone Alpes;;2021-01;2021-01;PE-PP;45;20;
29;P19-070;A-XS-AC;A-45-AC-TB;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;
30;P19-070;A-XS-AC;A-45-AC-TB;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;
38;P19-048;A-XS-AC;A-45-AC-TB-Handfeed;Radiant/Jaykal/Quantum;Radiant/Jaykal/Quantum;;2019-01;2019-01;PE-PP;45;20;
315;P23-038;A-45-HC;A-45-HC-FF-MSC-1-CE-400/50-3N;SILCART;SILCART;;2024-01;2024-01;PE-PP;45;20;
298;P23-027;A-45-HC;A-45-HC-FF-RF-MSC-1-CE-400-50-NOAB;BASELL POLIOLEFINE ITALIA SRL;BASELL POLIOLEFINE ITALIA SRL;ITALY;2023-01;2023-01;PE-PP;45;20;
